HB.import_ref,HB.parent_import_ref,HB.location,HB.tags,HB.asset_id,HB.archived,HB.url,HB.name,HB.quantity,HB.description,HB.insured,HB.notes,HB.purchase_price,HB.purchase_from,HB.purchase_date,HB.manufacturer,HB.model_number,HB.serial_number,HB.lifetime_warranty,HB.warranty_expires,HB.warranty_details,HB.sold_to,HB.sold_price,HB.sold_date,HB.sold_notes,HB.field.Color,HB.field.Currency,HB.field.Energy_Rating,HB.field.Maintenance_Interval,HB.field.Power_W,HB.field.Voltage
demo-wifi-router,,家 / 客廳 / 電視櫃,網路; 電子設備; 保固中,000-101,false,,Wi-Fi 路由器,1,家庭無線網路設備,false,,3200,Synthetic Test Store,2025-01-10,ExampleNet,WN-AX1,SYN-000101,false,2028-01-10,,,0,,,白色,TWD,,每年檢查,18,110V
demo-desktop,,家 / 書房 / 書桌,電腦; 電子設備; 重要,000-102,false,,桌上型電腦主機,1,家庭工作與內容製作用電腦,true,,26500,Synthetic Test Store,2025-02-12,ExampleCompute,DC-T1,SYN-000102,false,2028-02-12,,,0,,,黑色,TWD,,每半年清潔,450,110V
demo-monitor,demo-desktop,家 / 書房 / 書桌,電腦周邊; 顯示設備; 保固中,000-103,false,,外接螢幕,1,桌上型電腦使用的外接顯示器,false,,7800,Synthetic Test Store,2025-02-12,ExampleDisplay,ED-27Q,SYN-000103,false,2028-02-12,,,0,,,黑色,TWD,,,45,110V
demo-backup-drive,demo-desktop,家 / 書房 / 書桌,電腦周邊; 備份; 重要,000-104,false,,外接備份硬碟,1,家庭文件與照片的離線備份裝置,false,,3200,Synthetic Test Store,2025-03-01,ExampleStorage,ES-4TB,SYN-000104,false,2028-03-01,,,0,,,黑色,TWD,,每季驗證備份,12,5V
demo-work-laptop,,家 / 書房,電腦; 工作; 重要; 保固中,000-105,false,,工作筆電,1,可攜式工作電腦,true,,42800,Synthetic Test Store,2025-04-08,ExampleCompute,NB-14P,SYN-000105,false,2028-04-08,,,0,,,深灰色,TWD,,每半年檢查,65,110V
demo-projector,,家 / 客廳 / 電視櫃,影音; 電子設備; 重要,000-106,false,https://inventory.example/items/demo-projector,家庭投影機,1,客廳影音播放設備,true,,26800,Synthetic Test Store,2024-08-22,ExampleVision,EV-4K,SYN-000106,false,2027-08-22,,,0,,,白色,TWD,,每年清潔濾網,240,110V
demo-air-purifier,,家 / 客廳,家電; 空氣品質; 保固中,000-107,false,,空氣清淨機,1,客廳空氣過濾設備,false,濾網型號為合成測試值,9800,Synthetic Test Store,2025-03-15,ExampleAir,EA-500,SYN-000107,false,2028-03-15,,,0,,,白色,TWD,Synthetic Level 1,每六個月更換濾網,55,110V
demo-robot-vacuum,,家 / 客廳,家電; 清潔; 自動化,000-108,false,,掃地機器人,1,自動地板清潔設備,false,,12800,Synthetic Test Store,2025-05-09,ExampleClean,EC-R2,SYN-000108,false,2027-05-09,,,0,,,黑色,TWD,,每月清潔刷具,45,110V
demo-coffee-machine,,家 / 廚房 / 中島,家電; 咖啡; 保固中,000-109,false,,全自動咖啡機,1,家庭咖啡沖煮設備,false,"每月清潔奶管, 使用 ""深層清潔"" 模式",18500,Synthetic Test Store,2025-04-02,ExampleBrew,EB-A1,SYN-000109,false,2028-04-02,,,0,,,銀色,TWD,,每月除垢,1350,110V
demo-refrigerator,,家 / 廚房,大型家電; 冷藏; 保固中,000-110,false,,雙門冰箱,1,家庭食材冷藏冷凍設備,false,,32900,Synthetic Test Store,2024-10-18,ExampleHome,EH-R520,SYN-000110,false,2029-10-18,,,0,,,銀色,TWD,Synthetic Level 1,每年清潔散熱區,180,110V
demo-microwave-oven,,家 / 廚房,家電; 烹調; 保固中,000-111,false,,微波烤箱,1,微波與烘烤複合設備,false,,7600,Synthetic Test Store,2025-06-11,ExampleKitchen,EK-MO30,SYN-000111,false,2027-06-11,,,0,,,黑色,TWD,,,1400,110V
demo-dehumidifier,,家 / 主臥室,家電; 除濕; 季節用品,000-112,false,,變頻除濕機,1,臥室濕度控制設備,false,,11800,Synthetic Test Store,2025-12-08,ExampleAir,EA-D18,SYN-000112,false,2028-12-08,,,0,,,白色,TWD,Synthetic Level 1,每月清潔濾網,260,110V
demo-air-conditioner,,家 / 主臥室,大型家電; 空調; 保固中,000-113,false,,冷暖空調,1,主臥室冷暖空調設備,false,,36800,Synthetic Test Store,2024-11-20,ExampleClimate,EC-36H,SYN-000113,false,2029-11-20,,,0,,,白色,TWD,Synthetic Level 1,每年保養,980,220V
demo-washing-machine,,家 / 工作陽台,大型家電; 洗衣; 保固中,000-114,false,,滾筒洗衣機,1,家庭衣物清潔設備,false,,28600,Synthetic Test Store,2025-01-16,ExampleHome,EH-W12,SYN-000114,false,2028-01-16,,,0,,,白色,TWD,Synthetic Level 1,每月筒槽清潔,900,110V
demo-camera-bag,,家 / 儲藏室 / 防潮箱,攝影; 收納,000-115,false,,相機包,1,攝影器材收納包,false,,2800,Synthetic Test Store,2024-09-12,ExamplePhoto,EP-B20,SYN-000115,false,,,,0,,,黑色,TWD,,,,
demo-camera,demo-camera-bag,家 / 儲藏室 / 防潮箱,攝影; 電子設備; 重要,000-116,false,,全片幅相機,1,家庭攝影用相機機身,true,,52900,Synthetic Test Store,2024-11-18,ExamplePhoto,EP-F1,SYN-000116,false,2027-11-18,,,0,,,黑色,TWD,,每年感光元件檢查,15,7.2V
demo-lens,demo-camera-bag,家 / 儲藏室 / 防潮箱,攝影; 鏡頭; 重要,000-117,false,,標準變焦鏡頭,1,家庭攝影用標準變焦鏡頭,true,,31800,Synthetic Test Store,2024-11-18,ExamplePhoto,EP-2470,SYN-000117,false,2027-11-18,,,0,,,黑色,TWD,,每年清潔檢查,,
demo-toolbox,,家 / 車庫 / 工具櫃,工具; 收納; 終身保固,000-118,false,,專業工具箱,1,家庭維修工具收納箱,false,,4200,Synthetic Test Store,2024-04-30,ExampleTools,ET-BOX,SYN-000118,true,,Synthetic lifetime warranty record,,0,,,紅色,TWD,,,,
demo-torque-wrench,demo-toolbox,家 / 車庫 / 工具櫃,工具; 維修,000-119,false,,扭力扳手,1,自行車與家庭維修用扭力工具,false,,3600,Synthetic Test Store,2025-05-26,ExampleTools,ET-TW20,SYN-000119,false,2027-05-26,,,0,,,銀色,TWD,,每年校正,,
demo-power-tools,demo-toolbox,家 / 車庫 / 工具牆,工具; DIY; 保固中,000-120,false,,無刷電動工具組,2,電鑽與起子機合成測試組,false,,12600,Synthetic Test Store,2025-09-06,ExampleTools,ET-BL2,SYN-000120,false,2027-09-06,,,0,,,藍色,TWD,,每半年檢查電池,500,18V
demo-road-bike,,家 / 車庫 / 自行車架,交通; 運動; 重要,000-121,false,,公路自行車,1,家庭休閒與運動用自行車,true,,45800,Synthetic Test Store,2024-07-19,ExampleCycle,EC-RD1,SYN-000121,false,2027-07-19,,,0,,,深藍色,TWD,,每六個月保養,,
demo-family-tent,,家 / 儲藏室 / 戶外用品,露營; 戶外; 收納,000-122,false,,四人家庭帳篷,1,家庭露營用四人帳篷,false,,7200,Synthetic Test Store,2024-03-22,ExampleOutdoor,EO-T4,SYN-000122,false,,,,0,,,沙色,TWD,,使用後乾燥收納,,
demo-smoke-alarm,,家 / 安全設備,安全; 警報器,000-123,false,,煙霧警報器,4,配置於家中不同區域的煙霧警報器,false,,3600,Synthetic Test Store,2025-02-28,ExampleSafe,ES-SA1,SYN-000123,false,2030-02-28,,,0,,,白色,TWD,,每月測試,3,9V
demo-retired-tablet,,家 / 儲藏室 / 已汰換設備,電子設備; 已汰換,000-124,true,,已汰換平板電腦,1,用來驗證封存與出售欄位的合成設備,false,Synthetic for testing only,12500,Synthetic Test Store,2022-08-14,ExampleCompute,TB-10,SYN-000124,false,2024-08-14,,Synthetic resale buyer,1200,2026-06-15,Synthetic sale record,銀色,TWD,,,20,5V
